run_id,script,table,model,timestamp_utc,row_id,entity_id,reporting_year,prompt_tokens,completion_tokens,total_tokens,cost_usd,latency_s,status,error_msg
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:25:42,POLREF-ENT-ES-006-2019,ENT-ES-006,2019,461,318,779,0.00026,8.831,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:25:52,POLREF-ENT-ES-006-2020,ENT-ES-006,2020,461,304,765,0.000252,8.727,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:26:00,POLREF-ENT-ES-006-2021,ENT-ES-006,2021,461,298,759,0.000248,8.089,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:26:11,POLREF-ENT-ES-006-2022,ENT-ES-006,2022,461,334,795,0.00027,10.325,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:26:22,POLREF-ENT-ES-006-2023,ENT-ES-006,2023,461,400,861,0.000309,10.025,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:26:30,POLREF-ENT-ES-006-2024,ENT-ES-006,2024,478,324,802,0.000266,7.952,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:26:39,POLREF-ENT-IT-007-2019,ENT-IT-007,2019,463,344,807,0.000276,8.786,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:26:50,POLREF-ENT-IT-007-2020,ENT-IT-007,2020,463,315,778,0.000258,10.531,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:27:02,POLREF-ENT-IT-007-2021,ENT-IT-007,2021,463,391,854,0.000304,10.864,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:27:12,POLREF-ENT-IT-007-2022,ENT-IT-007,2022,463,366,829,0.000289,9.585,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:27:20,POLREF-ENT-IT-007-2023,ENT-IT-007,2023,463,399,862,0.000309,7.994,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:27:29,POLREF-ENT-IT-007-2024,ENT-IT-007,2024,480,322,802,0.000265,7.894,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:27:40,POLREF-ENT-BE-008-2019,ENT-BE-008,2019,461,385,846,0.0003,11.136,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:27:48,POLREF-ENT-BE-008-2020,ENT-BE-008,2020,461,315,776,0.000258,7.651,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:27:58,POLREF-ENT-BE-008-2021,ENT-BE-008,2021,461,332,793,0.000268,9.078,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:28:05,POLREF-ENT-BE-008-2022,ENT-BE-008,2022,461,313,774,0.000257,6.613,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:28:15,POLREF-ENT-BE-008-2023,ENT-BE-008,2023,461,331,792,0.000268,9.558,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:28:23,POLREF-ENT-BE-008-2024,ENT-BE-008,2024,478,294,772,0.000248,7.502,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:28:33,POLREF-ENT-LU-009-2019,ENT-LU-009,2019,462,314,776,0.000258,9.392,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:28:44,POLREF-ENT-LU-009-2020,ENT-LU-009,2020,462,364,826,0.000288,10.424,ok,
